Countries,PERSONAL FREEDOM (Score),Procedural Justice,Civil Justice,Criminal Justice,Rule of Law,Homicide,Disappearances,Violent Conflicts,Organised Conflicts,Terrorism Fatalities,Terrorism Injuries,Disapperances  Conflicts and Terrorism,Female Genital Mutilation,Missing Women,Inheritance Rights: Widows,Inheritance Rights: Daughters,Inheritance Rights,Womens Security & Safety,Security & Safety,Domestic Movement,Foreign Movement,Womens Movement,Movement,Establishing and Operating Religious Organizations,Harassment and Physical Hostilities,Legal and Regulatory Restrictions,Religion,Association,Assembly,Political Parties,Professional Organizations,Educational Sporting and Cultural Organizations,Establishing and Operating Organizations,Association Assembly & Civil Society,Press Killed,Press Jailed,Laws and Regulations that Influence Media Content,Political Pressures and Controls on Media Content,Access to Cable/Satellite,Access to Foreign Newspapers,State Control over Internet Access,Expression & Information,Legal Gender,Parental Authority: In Marriage,Parental Authority: After Divorce,Parental Rights,Male to Male Relationships,Female to Female Relationships,SameSex Relationships,Divorce,Identity & Relationships
Albania,7.78,6.11,4.80,4.58,5.16,9.09,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50,5.00,5.00,5.00,7.50,8.86,5.00,10.00,5.00,6.67,10.00,9.23,8.47,9.24,10.00,10.00,8.75,10.00,10.00,9.58,9.86,10.00,10.00,5.00,5.50,10.00,10.00,10.00,8.64,,10.00,10.00,10.00,10.00,10.00,10.00,5.00,8.33
Algeria,5.25,,,,3.90,9.45,10.00,9.29,5.00,9.82,9.90,8.80,10.00,7.50,0.00,0.00,0.00,5.83,8.03,5.00,5.00,5.00,5.00,5.00,6.90,4.07,5.32,5.00,5.00,3.75,5.00,5.00,4.58,4.86,10.00,10.00,2.67,4.25,7.50,5.00,7.50,6.70,,0.00,5.00,2.50,0.00,0.00,0.00,0.00,0.83
Angola,5.72,,,,3.51,6.14,5.00,10.00,7.50,10.00,10.00,8.50,10.00,10.00,5.00,5.00,5.00,8.33,7.66,0.00,5.00,10.00,5.00,5.00,8.82,7.46,7.09,2.50,2.50,2.50,2.50,5.00,3.33,2.78,10.00,10.00,3.33,2.50,7.50,7.50,7.50,6.90,10.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,7.50
Argentina,8.05,6.68,5.67,4.26,5.54,7.39,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,10.00,10.00,10.00,10.00,8.96,10.00,10.00,10.00,10.00,7.50,8.94,7.22,7.89,7.50,10.00,7.50,5.00,7.50,6.67,8.06,10.00,10.00,5.33,5.00,10.00,7.50,10.00,8.26,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Armenia,7.11,,,,4.68,9.02,10.00,10.00,7.50,10.00,9.93,9.49,10.00,5.00,10.00,10.00,10.00,8.33,8.95,5.00,5.00,10.00,6.67,10.00,8.56,5.56,8.04,7.50,7.50,10.00,5.00,5.00,6.67,7.22,10.00,10.00,3.33,4.25,10.00,5.00,7.50,7.15,7.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,8.00
Australia,9.22,8.50,7.67,7.52,7.89,9.61,10.00,10.00,10.00,9.97,10.00,9.99,10.00,10.00,10.00,10.00,10.00,10.00,9.87,10.00,10.00,10.00,10.00,10.00,8.67,8.76,9.14,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,7.50,10.00,10.00,10.00,9.36,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Austria,9.38,9.37,8.03,8.33,8.58,9.80,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.93,10.00,10.00,10.00,10.00,10.00,8.22,6.48,8.23,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.33,7.75,10.00,10.00,10.00,9.30,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Azerbaijan,5.83,,,,4.26,9.02,10.00,7.51,7.50,10.00,10.00,9.00,10.00,7.50,5.00,10.00,7.50,8.33,8.79,5.00,5.00,5.00,5.00,2.50,8.55,6.02,5.69,2.50,5.00,2.50,2.50,2.50,2.50,3.33,10.00,1.71,0.33,0.50,7.50,10.00,7.50,5.36,0.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,6.25
Bahamas,7.50,6.94,6.20,6.75,6.63,0.00,10.00,10.00,,10.00,10.00,10.00,,,,,,,5.00,10.00,10.00,,10.00,,9.36,6.25,7.80,,,,,,,,10.00,10.00,8.33,7.50,,,,8.96,,,,,10.00,10.00,10.00,,10.00
Bahrain,6.00,,,,5.97,9.78,10.00,10.00,2.50,8.79,6.81,7.62,10.00,7.50,0.00,0.00,0.00,5.83,7.74,10.00,5.00,5.00,6.67,10.00,8.29,4.99,7.76,5.00,0.00,6.25,0.00,10.00,5.42,3.47,10.00,0.00,0.67,0.75,7.50,10.00,2.50,4.49,,0.00,0.00,0.00,10.00,10.00,10.00,0.00,3.33
